"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: ordinalLoc","Param: randSeed","Param: size"
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1856.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,2612.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,73.101765,5.629719,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,4980.707163,268.480007,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,378.666678,12.813425,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1220.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,1742.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,216.200201,4.548940,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,4839.146713,104.703269,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,1096.000033,0.000048,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1185.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,1721.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,537.086457,13.122619,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,4588.208654,100.861719,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,2581.333415,28.189535,"B/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1124.000000,NaN,"counts",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,1609.000000,NaN,"ms",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,546.598752,7.769282,"ns/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,4700.616060,73.629926,"MB/sec",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,2693.333416,32.110350,"B/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1152.000000,NaN,"counts",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,1660.000000,NaN,"ms",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,1554.025216,65.107668,"ns/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,4150.603986,142.767478,"MB/sec",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,6744.000236,101.703411,"B/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1017.000000,NaN,"counts",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,1448.000000,NaN,"ms",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,7770.974616,63.087577,"ns/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,1989.653133,9.697192,"MB/sec",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,16213.334512,165.208734,"B/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,488.000000,NaN,"counts",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,673.000000,NaN,"ms",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,161.447175,0.887441,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,1843.062269,10.176744,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,312.000071,0.000035,"B/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,450.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,665.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,887.943193,2.523551,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,1082.607462,3.062395,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,1008.000285,0.000196,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,264.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,395.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,1769.150704,10.298607,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,1052.287512,6.161759,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,1952.000560,0.000389,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,258.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,377.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,3720.631929,23.295052,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,1199.646623,7.556701,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,4680.001268,0.000818,"B/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,296.000000,NaN,"counts",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,438.000000,NaN,"ms",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,3948.933230,11.301411,"ns/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,1195.903423,3.417983,"MB/sec",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,4952.001339,0.000865,"B/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,293.000000,NaN,"counts",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,433.000000,NaN,"ms",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,8982.633736,46.310494,"ns/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,1398.918646,7.245408,"MB/sec",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,13176.003326,0.001980,"B/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,342.000000,NaN,"counts",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,497.000000,NaN,"ms",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,14154.596868,71.440403,"ns/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,1579.329972,7.953632,"MB/sec",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,23440.005646,0.003092,"B/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,387.000000,NaN,"counts",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,566.000000,NaN,"ms",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,84.987130,2.088739,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,4943.553310,118.090749,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,440.000013,0.000019,"B/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,1211.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,1745.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,293.364126,6.172260,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,4191.330787,99.227202,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,1288.000045,7.688054,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,1028.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,1475.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,530.374792,7.150901,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,4158.770355,56.735095,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,2312.000080,0.000116,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,1020.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,1459.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,1254.266369,16.433138,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,3772.611446,49.843333,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,4960.000190,0.000276,"B/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,925.000000,NaN,"counts",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,1347.000000,NaN,"ms",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,1265.631531,11.898885,"ns/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,3906.865846,37.093661,"MB/sec",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,5184.000192,0.000278,"B/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,958.000000,NaN,"counts",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,1397.000000,NaN,"ms",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,2654.273379,104.194307,"ns/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,3938.931201,148.687748,"MB/sec",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,10928.000402,0.000584,"B/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,966.000000,NaN,"counts",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,1399.000000,NaN,"ms",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,4075.776537,237.023330,"ns/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,3645.815954,13.101574,"MB/sec",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,15586.667285,943.068080,"B/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,894.000000,NaN,"counts",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,1304.000000,NaN,"ms",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,26.992396,0.086781,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,5935.600812,19.089487,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,168.000004,0.000006,"B/op",,1234,1
