"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: ordinalLoc","Param: randSeed","Param: size"
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,640.000260,30.752231,"B/op",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.count","avgt",1,30,426.000000,NaN,"counts",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.time","avgt",1,30,598.000000,NaN,"ms",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric","avgt",1,30,445.526172,17.870173,"ns/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate","avgt",1,30,1515.640410,34.822246,"MB/sec",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,706.666963,12.813432,"B/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.count","avgt",1,30,371.000000,NaN,"counts",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.time","avgt",1,30,523.000000,NaN,"ms",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric","avgt",1,30,560.853255,3.593052,"ns/op",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate","avgt",1,30,1496.440401,9.650792,"MB/sec",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,880.000370,0.000124,"B/op",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.count","avgt",1,30,367.000000,NaN,"counts",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.time","avgt",1,30,516.000000,NaN,"ms",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric","avgt",1,30,465.087221,2.470732,"ns/op",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate","avgt",1,30,2083.401838,11.060598,"MB/sec",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,1016.000398,0.000102,"B/op",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.count","avgt",1,30,509.000000,NaN,"counts",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.time","avgt",1,30,740.000000,NaN,"ms",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric","avgt",1,30,473.103495,1.226744,"ns/op",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate","avgt",1,30,2209.268241,5.701906,"MB/sec",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,1096.000427,0.000103,"B/op",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.count","avgt",1,30,542.000000,NaN,"counts",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.time","avgt",1,30,756.000000,NaN,"ms",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric","avgt",1,30,651.929605,5.088938,"ns/op",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate","avgt",1,30,3007.927575,23.316520,"MB/sec",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,2056.000766,0.000144,"B/op",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.count","avgt",1,30,737.000000,NaN,"counts",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.time","avgt",1,30,1069.000000,NaN,"ms",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric","avgt",1,30,953.134173,3.147493,"ns/op",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate","avgt",1,30,2857.601081,9.431144,"MB/sec",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,2856.001069,0.000206,"B/op",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.count","avgt",1,30,700.000000,NaN,"counts",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeCirceGeneric:·gc.time","avgt",1,30,1026.000000,NaN,"ms",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten","avgt",1,30,108.875504,6.373789,"ns/op",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate","avgt",1,30,6413.890190,295.147345,"MB/sec",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,728.000016,7.688056,"B/op",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.count","avgt",1,30,1571.000000,NaN,"counts",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.time","avgt",1,30,2259.000000,NaN,"ms",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten","avgt",1,30,106.580239,5.442263,"ns/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate","avgt",1,30,6134.784353,272.518957,"MB/sec",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,682.666683,17.938795,"B/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.count","avgt",1,30,1503.000000,NaN,"counts",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.time","avgt",1,30,2099.000000,NaN,"ms",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten","avgt",1,30,102.119539,5.303206,"ns/op",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate","avgt",1,30,6653.577913,262.573081,"MB/sec",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,709.333349,10.250740,"B/op",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.count","avgt",1,30,1630.000000,NaN,"counts",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.time","avgt",1,30,2286.000000,NaN,"ms",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten","avgt",1,30,100.559567,3.049854,"ns/op",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate","avgt",1,30,6644.243766,319.698584,"MB/sec",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,698.666682,17.938794,"B/op",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.count","avgt",1,30,1629.000000,NaN,"counts",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.time","avgt",1,30,2314.000000,NaN,"ms",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten","avgt",1,30,106.576575,4.806598,"ns/op",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate","avgt",1,30,6328.443318,297.689135,"MB/sec",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,704.000016,0.000024,"B/op",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.count","avgt",1,30,1550.000000,NaN,"counts",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.time","avgt",1,30,2257.000000,NaN,"ms",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten","avgt",1,30,102.956992,1.503178,"ns/op",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate","avgt",1,30,6225.356213,45.630405,"MB/sec",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,672.000016,7.688055,"B/op",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.count","avgt",1,30,1526.000000,NaN,"counts",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.time","avgt",1,30,2218.000000,NaN,"ms",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten","avgt",1,30,106.609932,4.664949,"ns/op",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate","avgt",1,30,6113.228603,325.407567,"MB/sec",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,680.000016,7.688054,"B/op",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.count","avgt",1,30,1498.000000,NaN,"counts",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeHandwritten:·gc.time","avgt",1,30,2155.000000,NaN,"ms",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia","avgt",1,30,135.580976,2.762287,"ns/op",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate","avgt",1,30,5519.482917,113.298352,"MB/sec",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,784.000020,0.000030,"B/op",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.count","avgt",1,30,1354.000000,NaN,"counts",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.time","avgt",1,30,1948.000000,NaN,"ms",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia","avgt",1,30,156.574031,4.233713,"ns/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate","avgt",1,30,4584.672471,77.187773,"MB/sec",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,752.000024,7.688055,"B/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.count","avgt",1,30,1123.000000,NaN,"counts",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.time","avgt",1,30,1610.000000,NaN,"ms",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia","avgt",1,30,189.946273,1.618406,"ns/op",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate","avgt",1,30,3775.469725,18.534302,"MB/sec",LAST,1234,10
