"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: ordinalLoc","Param: randSeed","Param: size"
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,1692.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,2416.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,93.625727,1.924281,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,6198.497748,124.909611,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,608.000014,0.000021,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,1518.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,2165.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,332.625501,28.871487,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,4456.177096,402.339039,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,1528.000050,0.000074,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,1092.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,1551.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,748.656320,30.383846,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,4621.973494,180.665416,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,3616.000114,0.000165,"B/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,1131.000000,NaN,"counts",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,1588.000000,NaN,"ms",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,816.716649,30.089565,"ns/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,4450.686205,170.259934,"MB/sec",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,3800.000124,0.000180,"B/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,1090.000000,NaN,"counts",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,1572.000000,NaN,"ms",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,1885.593855,13.145643,"ns/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,4256.874989,29.494497,"MB/sec",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,8416.000286,0.000415,"B/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,1042.000000,NaN,"counts",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,1501.000000,NaN,"ms",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric","avgt",1,30,3277.501491,33.674711,"ns/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate","avgt",1,30,3734.928347,20.937935,"MB/sec",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.alloc.rate.norm","avgt",1,30,12834.667164,64.067127,"B/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.count","avgt",1,30,915.000000,NaN,"counts",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeCirceGeneric:·gc.time","avgt",1,30,1294.000000,NaN,"ms",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,16.113974,0.023212,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,7575.243340,10.905051,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,128.000002,0.000004,"B/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1856.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,2530.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,85.368480,10.959164,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,5071.906837,145.610271,"MB/sec",,1234,5
